,count
Hoopa Valley Tribal Group (United States),2
Uyghur Ethnic Group (United States),5
Mijente Movement,1
Malaya Movement,1
MO: MoveOn,81
United Way,2
Israeli Group (United States),14
Migrants (International),18
Prisoners (International),1
Military Forces of the United States (2017-2021),8
North State Militia,1
ICE Detainees (South Korea),1
NAMI: National Alliance on Mental Illness,1
RCP: Revolutionary Communist Party,2
LFM: Light Foot Militia,2
NAA: Never Again Action,11
Greenpeace,3
SJP: Students for Justice in Palestine,7
UAW: United Automobile Workers,14
Westboro Baptist Church,3
YWCA: Young Women's Christian Association,7
SFC: Stand For The Constitution,2
Buddhist Group (United States),3
UADF: United American Defense Force,1
FEC: Faith Education Commerce,3
Guatemalan Group (United States),1
DHOL: Denver Homeless Out Loud,5
CPUSA: Communist Party of the United States of America,4
Oromo Ethnic Group (United States),14
LP: Libertarian Party,17
Animal Save Movement,4
SNAP: Survivors Network of those Abused by Priests,2
Irish Group (United States),1
FFF: Fridays For Future,5
Italian Group (United States),11
CAGV: Connecticut Against Gun Violence,1
Make the Road Action,57
Patriot Front,14
LIUNA: Laborers' International Union of North America,3
Tibetan Ethnic Group (United States),2
We are CASA,14
Hong Kong Group (United States),2
BTA: Bend The Arc,2
CAIR: Council on American-Islamic Relations,18
One Fair Wage,5
Filipino Group (United States),6
Bolivian Group (United States),1
NOI: Nation of Islam,1
Shutdown DC,11
Palm Collective,1
Police Forces of the United States (2017-2021) Federal Bureau of Investigation,3
Baloch Ethnic Group (United States),2
CASA In Action,3
Police Forces of the United States (2017-2021) Border Patrol,1
Florida Rising,4
Northside Coalition of Jacksonville,17
IAM: International Association of Machinists and Aerospace Workers,2
CAC: Community Action Committee,11
BSU: Black Student Union,2
Food & Water Watch,2
GOA: Gun Owners Of America,2
MD: Mad Dads,2
Berserker Patriots,1
Former Police Forces of the United States (2021-),1
Take 'Em Down,2
Dream Defenders,3
WWP: Workers World Party,7
Venezuelan Group (United States),3
NRA: National Rifle Association,2
Sons of Confederate Veterans,8
Immigrant Rights Action Group,4
Bloodstained Men,13
Santa Rosa County Militia,1
NBPP: New Black Panther Party,10
AAUP: American Association of University Professors,19
UCW: United Campus Workers,10
III% Security Force,8
Police Forces of the United States (2021-) Department of Homeland Security,1
Unidentified Armed Group (United States),2
NFAC: Not Fucking Around Coalition,5
American Patriots USA,3
III% American Brotherhood of Patriots,1
RBPP: Revolutionary Black Panther Party,3
Refugees/IDPs (International),5
Hawaiian Indigenous Group (United States),16
Japanese Group (United States),1
Free Hawaii,1
Satanic Temple (United States),2
People's Rights,15
Somali Ethnic Group (United States),1
Mormon Christian Group (United States),4
North Idaho Freedom Fighters,1
Bundy Ranch,5
IFF: Idaho Freedom Foundation,1
CFL: Chicago Federation of Labor,2
RPC: Rainbow PUSH Coalition,3
Choctaw Tribal Group (United States),1
MC: Cosecha Movement,8
Polish Group (United States),2
Illinois Constitutional III% Militia,1
American Revolution 2.0,2
Lake Bluff Social Club,1
Illinois Volunteer Militia,1
Until Freedom,1
Students for Life of America,1
Police Forces of the United States (2021-) Federal Bureau of Investigation,1
Omaha Tribal Group (United States),1
South Sudanese Group (United States),1
Veterans for Peace,11
TFPSA: TFP Student Action,3
United Pharaoh's Guard,1
GOC: Guardians of the Children,1
National Patriotic Defense Team,2
Louisiana Cajun Militia,1
MJ: Migrant Justice,2
GPUS: Green Party of the United States,4
Penobscot Tribal Group (United States),2
Congolese Group (United States),1
Fishermen (United States),8
American Patriot Council,8
Mainers for Accountable Leadership,2
HW: Horseracing Wrongs,1
Church Militant,1
People's Power Assembly,5
TWW: Together We Will,1
Taino Tribal Group (United States),2
Puerto Rican Group (United States),1
Mass Action Against Police Brutality,3
MOF: Mothers Out Front,1
NSC: Nationalist Social Club,10
SURJ: Showing Up for Racial Justice,3
White Defense Force,2
Belarusian Ethnic Group (United States),2
Protesters (United States),1
Super Happy Fun America,1
Dominican Group (United States),6
Detroit Will Breathe,2
Bangladeshi Group (United States),1
CAN: Climate Action Network,11
Men (United States),1
Anishinaabe Tribal Group (United States),8
Michigan Liberty Militia,5
Michigan Home Guard,2
Police Forces of the United States (2017-2021) Prison Guards,2
CMB: Community Movement Builders,1
Lion of Judah Armed Forces,1
Chippewa Tribal Group (United States),6
LANDBACK Movement,1
Black Panthers,4
NLM: Native Lives Matter,4
"Police Forces of the United States (2021-) Bureau of Alcohol, Tobacco, Firearms and Explosives",1
Minnesota Patriot Alliance,1
Minnesota-DFL: Minnesota Democratic-Farmer-Labor Party,1
Los Brown Berets,3
ADOS: American Descendants of Slavery,1
Patriot Party,4
AFGE: American Federation of Government Employees,4
CMM: Citizens Militia of Mississippi,1
Expect US,1
Blackfeet Tribal Group (United States),2
Pacific Islander Group (United States),3
MHRN: Montana Human Rights Network,1
Cheyenne Tribal Group (United States),1
Yellowstone Militia of Billings,2
Winnemucca Indian Colony of Nevada (United States),3
Paiute-Shoshone Tribal Group (United States),1
Pyramid Lake Paiute Tribal Group (United States),1
New England Minutemen,1
Haredi Jewish Group (United States),1
Family Policy Alliance,6
Kiowa Tribal Group (United States),5
Red Nation,1
VOCAL-NY: Voices Of Community Activists and Leaders - New York,33
RAR: Rise and Resist,21
RAPP: Release Aging People in Prison Campaign,38
ACT UP: AIDS Coalition to Unleash Power,5
IBEW: International Brotherhood of Electrical Workers,2
Citizen Action,16
NYTWA: New York Taxi Workers Alliance,6
Seneca Tribal Group (United States),3
Onondaga Tribal Group (United States),1
Mohawk Tribal Group (United States),1
Guyanese Group (United States),1
Syrian Group (United States),1
Refugees/IDPs (Myanmar),1
ICE Detainees (Honduras),1
PBA: Patrolmen's Benevolent Association,1
Pakistani Group (United States),1
Shinnecock Tribal Group (United States),2
American Patriots Express,2
Former Police Forces of the United States (2017-2021),3
Domestic Terrorism Response Organization,1
TA: Transportation Alternatives,2
ACTBAC: Alamance County Taking Back Alamance County,2
AAP: Appalachians Against Pipelines,6
Gastonia Watchmen,4
Southern Workers Assembly,4
Lumbee Tribal Group (United States),1
Sole Perpetrator (United States),1
Stokes County Militia,1
Blue Igloo,3
Sioux Tribal Group (United States),2
Free Ohio Now,20
45th Regimental Ohio Volunteer Infantry,1
NALC: National Association of Letter Carriers,1
PCUN: Pineros y Campesinos Unidos del Noroeste,1
JWJ: Jobs with Justice,1
BU: Black Unity,5
Patriot Prayer,24
Yakama Tribal Group (United States),3
Sons of Liberty,1
WOM: Wall of Moms,1
Pacific Northwest Youth Liberation Front,1
Police Forces of the United States (2017-2021) Protecting American Communities Task Force,1
Timber Unity,1
National Justice Party,2
Cambodian Group (United States),1
Everytown for Gun Safety,2
MOVE,1
3/20 Coalition,1
Philadelphia Housing Action,5
III% Originals,1
Protesters (Japan),1
Summer of Rage,1
Narragansett Tribal Group (United States),2
Black and Pink,1
Tennessee 19th Infantry Militia,1
BLM757,15
Open Carry Texas,4
Eritrean Group (United States),1
BNHR: Border Network for Human Rights,8
Vigilante Group (United States),1
SPC: Southern Patriot Council,3
III% American Patriots,2
Warriors for Ranchers,1
Judges (United States),2
UCA: Urban Conservatives of America,1
Texas Three Percenters (III%),1
UFAF: United Front Against Fascism,1
Military Forces of the United States (2017-2021) National Guard,1
No Border Wall Coalition,1
Texas Militia,1
HSM: Houston Socialist Movement,1
NUL: National Urban League,1
Alabama-Coushatta Tribal Group (United States),1
No Sleep Till Justice,1
Texas Freedom Militia,1
Open Texas,3
RAICES: Refugee and Immigrant Center for Education and Legal Services,6
ICE Detainees (Cameroon),1
Taiwanese Group (United States),1
Hopi Tribal Group (United States),1
Utah Constitutional Militia,1
Black Fist Coalition,1
Insurgence USA,1
Virginia Kekoas,2
VCDL: Virginia Citizens Defense League,7
VO: Virginia Organizing,2
Franklin County Militia,1
Appomattox County Militia,1
Virginia Militia,1
American Patriot Riders,1
Halifax Militia,1
El Comite,1
Puyallup Tribal Group (United States),1
Korean Group (United States),1
LR: La Resistencia,1
Black Horse Militia,1
Washington State III%ers,3
Military Forces of the United States (2021-) National Guard,1
West Virginia 34 Mountain Militia,1
VDLF: Voces de la Frontera,10
NBO: National Bail Out,1
TPR: The People's Revolution,11
Menominee Tribal Group (United States),1
Oneida Tribal Group (United States),3
